item_id,category,qty,reference,part,package_footprint,preferred_example,function,required_for_first_build,notes
MECH-001,Mechanical,1,PCB/Card,100-pin edge-compatible wire-wrap or vector card,Custom card-edge vector card,Custom or donor-format card,Main carrier that plugs into XA5,yes,"Must match HP slot thickness, insertion depth, and edge finger geometry"
MECH-002,Mechanical,1,Edge fingers,100-pin card-edge finger pattern,Custom card edge,Donor board or fabricated fingers,Electrical connection to A1 XA5 slot,yes,"Critical mechanical constraint"
MECH-003,Mechanical,4,Standoffs,Card support standoffs,Hardware,Generic nylon or metal standoffs,Support free end of card,no,Recommended if card is heavy or repeatedly inserted
MECH-004,Mechanical,1,Bench interface,Extender or sacrificial slot setup,Fixture,Homemade or salvaged bench adapter,Safer bench bring-up,no,Helpful but not required
CTRL-001,Controller,1,U1,ATmega328P-PU,DIP-28,Microchip ATmega328P-PU,Main MCU for scan generation and key decoding,yes,Chosen for through-hole friendliness
CTRL-002,Controller,1,U1 socket,28-pin wire-wrap machine-pin socket,DIP-28 socket,Wire-wrap DIP socket,Socket for MCU,yes,Strongly recommended
CTRL-003,Controller,1,Y1,16 MHz crystal or resonator,HC49/U THT or 3-pin resonator,16 MHz crystal or resonator,Stable timing source,no,Internal oscillator acceptable for earliest bring-up
CTRL-004,Controller,2,Cxtal,22 pF capacitors,Ceramic radial/disc,22 pF ceramic,Crystal load caps if crystal used,no,Only with crystal
CTRL-005,Controller,1,SW_RESET,Reset pushbutton,THT tact switch,6 mm tact switch,Manual reset for firmware work,yes,Simple convenience item
CTRL-006,Controller,1,R_RESET,10k resistor,Axial 1/4W,10k 1/4W pull-up,Holds RESET inactive,yes,
CTRL-007,Controller,1,J_ISP,AVR ISP header,2x3 0.1-inch header,Generic header,Firmware programming and recovery,yes,
CTRL-008,Controller,1,J_UART,UART/debug header,1x4 or 1x6 0.1-inch header,Generic header,Serial debug output,yes,Can be larger if you want extra signals
SCAN-001,Scan logic,1,U2,74LS138,DIP-16,74LS138 1-of-8 decoder,Row decode for SCAN A-C,yes,Use 74LS family only
SCAN-002,Scan logic,1,U2 socket,16-pin wire-wrap socket,DIP-16 socket,Wire-wrap DIP socket,Socket for decoder,yes,
SCAN-003,Scan logic,8,Q1-Q8,2N3904 or 2N2222A,TO-92,2N3904,Row driver/sink transistors,no,"Useful for fuller pulse-drive stage; can omit in absolute first revision"
SCAN-004,Scan logic,8,RB_Q,2.2k base resistors,Axial 1/4W,2.2k 1/4W resistor,Limits base current to row drivers,no,Value can be adjusted
SCAN-005,Scan logic,8,RBIAS_Q,10k bias resistors,Axial 1/4W,10k 1/4W resistor,Defines transistor idle state,no,Topology-dependent
SCAN-006,Scan logic,1,C_PULSE,Pulse-shaping capacitor,Ceramic radial/disc,470 pF to 4.7 nF,Shapes row excitation pulse,no,Tuning part
SCAN-007,Scan logic,1,R_PULSE,Pulse-path resistor,Axial 1/4W,100 ohm to 4.7k,Works with pulse capacitor and row network,no,Tuning part
SENSE-001,Sense front end,2,U3-U4,LM339AN comparator,DIP-14,LM339AN,Converts KS pulses into thresholded events,yes,Preferred comparator choice
SENSE-002,Sense front end,2,U3-U4 sockets,14-pin wire-wrap sockets,DIP-14 socket,Wire-wrap DIP socket,Sockets for comparators,yes,
SENSE-003,Sense front end,6,R_KS_IN,4.7k input series resistors,Axial 1/4W,4.7k 1/4W resistor,Protects and conditions KS inputs,yes,One per used KS line
SENSE-004,Sense front end,12,D_KS_CLAMP,1N4148,DO-35,1N4148,Clamp/protection diodes for KS inputs,no,Two per line if full clamp network used
SENSE-005,Sense front end,1,RV_THRESH,10k or 20k trimmer,THT trimmer pot,10k trim pot,Adjustable comparator threshold,yes,Very helpful during tuning
SENSE-006,Sense front end,6,R_PULLUP_CMP,10k pull-up resistors,Axial 1/4W,10k 1/4W resistor,Pull-ups for LM339 open-collector outputs,yes,
LOGIC-001,Logic cleanup,1,U5,74LS14,DIP-14,74LS14 Schmitt inverter,Cleans comparator outputs for MCU capture,yes,Very useful on wire-wrap builds
LOGIC-002,Logic cleanup,1,U5 socket,14-pin wire-wrap socket,DIP-14 socket,Wire-wrap DIP socket,Socket for Schmitt IC,yes,
LOGIC-003,Logic cleanup,1,U6,74LS123,DIP-16,74LS123 monostable,Optional pulse stretching/noise hardening,no,Firmware may make it unnecessary
LOGIC-004,Logic cleanup,1,U6 socket,16-pin wire-wrap socket,DIP-16 socket,Wire-wrap DIP socket,Socket for optional monostable,no,
BUS-001,Optional bus output,1,U7,74LS245,DIP-20,74LS245,Optional buffered output / future bus emulation,no,Do not populate until scanner works
BUS-002,Optional bus output,1,U7 socket,20-pin wire-wrap socket,DIP-20 socket,Wire-wrap DIP socket,Socket for bus transceiver,no,
BUS-003,Optional bus output,1,U8,74LS373 or 74LS574,DIP-20,74LS373 or 74LS574,Optional output latch for stable bus code,no,Only if latched output is needed
BUS-004,Optional bus output,1,U8 socket,20-pin wire-wrap socket,DIP-20 socket,Wire-wrap DIP socket,Socket for optional latch,no,
PWR-001,Power,1,D_PWR,1N5819 Schottky diode,DO-41,1N5819,Input protection / isolation,yes,Optional in theory but recommended in practice
PWR-002,Power,1,F1,Fuse or resettable polyfuse,Axial fuse or radial PTC,Small fuse or polyfuse,Protects experimental card and host,yes,Strongly recommended
PWR-003,Power,1,C_BULK1,Input bulk capacitor,Radial electrolytic,47 uF electrolytic,Local supply smoothing,yes,
PWR-004,Power,1,C_BULK2,Logic bulk capacitor,Radial electrolytic,10 uF electrolytic,Local transient support,yes,
PWR-005,Power,10,C_DEC,0.1 uF decoupling capacitors,Ceramic radial/disc,100 nF ceramic,Local IC decoupling,yes,One per IC minimum
